id_raw,compte_bancaire,pays,annee,type_de_localisation,acces_au_telephone,taille_du_menage,age,sexe,relation_avec_le_chef_de_famille,etat_civil,niveau_education,type_de_job,Group Age
59,No,Kenya,2018,Rural,Yes,11,21,Male,Child,Célibataire,Other/Dont know/RTA,Informally employed,20-30
60,No,Kenya,2018,Rural,Yes,5,30,Female,Spouse,Marié(e),Secondary education,Informally employed,20-30
61,No,Kenya,2018,Rural,Yes,8,30,Female,Head of Household,Divorcé(e),Primary education,Self employed,20-30
62,No,Kenya,2018,Rural,No,1,67,Female,Head of Household,Veuf/Veuve,No formal education,Informally employed,60-70
63,No,Kenya,2018,Rural,Yes,3,50,Female,Spouse,Marié(e),Secondary education,Farming and Fishing,40-50
64,Yes,Kenya,2018,Urban,Yes,1,25,Female,Head of Household,Célibataire,Tertiary education,Remittance Dependent,20-30
65,No,Kenya,2018,Rural,Yes,6,25,Male,Head of Household,Marié(e),No formal education,Farming and Fishing,20-30
66,No,Kenya,2018,Urban,No,3,30,Female,Spouse,Marié(e),Primary education,Informally employed,20-30
67,No,Kenya,2018,Rural,No,1,37,Male,Head of Household,Divorcé(e),Primary education,Informally employed,30-40
68,Yes,Kenya,2018,Urban,Yes,1,30,Female,Head of Household,Marié(e),Primary education,Self employed,20-30
69,No,Kenya,2018,Urban,No,5,28,Female,Child,Célibataire,Primary education,Informally employed,20-30
70,Yes,Kenya,2018,Urban,Yes,1,30,Male,Head of Household,Célibataire,Secondary education,Formally employed Private,20-30
71,No,Kenya,2018,Rural,Yes,2,59,Female,Head of Household,Célibataire,Vocational/Specialised training,Informally employed,50-60
72,No,Kenya,2018,Urban,Yes,5,29,Male,Head of Household,Marié(e),Secondary education,Informally employed,20-30
73,No,Kenya,2018,Rural,No,4,31,Female,Spouse,Marié(e),Primary education,Farming and Fishing,30-40
74,No,Kenya,2018,Urban,Yes,3,27,Female,Spouse,Marié(e),Secondary education,Remittance Dependent,20-30
75,Yes,Kenya,2018,Rural,Yes,4,55,Female,Spouse,Marié(e),Primary education,Farming and Fishing,50-60
76,No,Kenya,2018,Urban,Yes,4,34,Male,Head of Household,Marié(e),Primary education,Informally employed,30-40
77,No,Kenya,2018,Urban,No,4,17,Male,Other relative,Célibataire,Secondary education,Remittance Dependent,10-20
78,No,Kenya,2018,Urban,No,3,21,Female,Spouse,Marié(e),Vocational/Specialised training,Informally employed,20-30
79,No,Kenya,2018,Urban,Yes,5,37,Female,Head of Household,Divorcé(e),Secondary education,Informally employed,30-40
80,No,Kenya,2018,Rural,No,4,42,Female,Spouse,Marié(e),Primary education,Farming and Fishing,40-50
81,No,Kenya,2018,Rural,No,8,40,Female,Spouse,Marié(e),Primary education,Remittance Dependent,30-40
82,No,Kenya,2018,Rural,No,4,17,Male,Child,Célibataire,Secondary education,Remittance Dependent,10-20
83,No,Kenya,2018,Urban,No,4,65,Female,Spouse,Marié(e),No formal education,Informally employed,60-70
84,No,Kenya,2018,Rural,Yes,7,18,Female,Child,Célibataire,Secondary education,Remittance Dependent,10-20
85,No,Kenya,2018,Urban,Yes,3,34,Female,Head of Household,Célibataire,Vocational/Specialised training,Informally employed,30-40
86,No,Kenya,2018,Rural,Yes,4,46,Male,Head of Household,Marié(e),Secondary education,Farming and Fishing,40-50
87,Yes,Kenya,2018,Urban,Yes,1,54,Male,Head of Household,Célibataire,Primary education,Informally employed,50-60
88,No,Kenya,2018,Urban,Yes,4,27,Female,Head of Household,Marié(e),Primary education,Informally employed,20-30
89,No,Kenya,2018,Rural,Yes,4,21,Female,Child,Célibataire,Primary education,Informally employed,20-30
90,No,Kenya,2018,Rural,No,4,64,Male,Head of Household,Marié(e),No formal education,Farming and Fishing,60-70
91,No,Kenya,2018,Rural,Yes,3,56,Female,Spouse,Marié(e),Primary education,Remittance Dependent,50-60
92,No,Kenya,2018,Rural,No,6,40,Male,Head of Household,Divorcé(e),Primary education,Farming and Fishing,30-40
93,Yes,Kenya,2018,Urban,Yes,10,21,Female,Parent,Célibataire,Tertiary education,Remittance Dependent,20-30
94,No,Kenya,2018,Rural,Yes,9,18,Male,Other relative,Célibataire,Secondary education,Remittance Dependent,10-20
95,Yes,Kenya,2018,Rural,Yes,1,42,Male,Head of Household,Divorcé(e),Secondary education,Farming and Fishing,40-50
96,No,Kenya,2018,Rural,No,2,22,Male,Child,Célibataire,Primary education,Remittance Dependent,20-30
97,No,Kenya,2018,Rural,Yes,8,52,Female,Spouse,Marié(e),Primary education,Informally employed,50-60
98,No,Kenya,2018,Urban,Yes,6,35,Female,Spouse,Marié(e),Primary education,Informally employed,30-40
99,No,Kenya,2018,Rural,Yes,2,64,Female,Head of Household,Veuf/Veuve,Primary education,Remittance Dependent,60-70
100,Yes,Kenya,2018,Urban,Yes,5,42,Male,Head of Household,Marié(e),Secondary education,Farming and Fishing,40-50
101,No,Kenya,2018,Urban,Yes,10,23,Female,Other relative,Divorcé(e),Primary education,Formally employed Private,20-30
102,No,Kenya,2018,Rural,Yes,1,42,Male,Head of Household,Marié(e),Vocational/Specialised training,Informally employed,40-50
103,No,Kenya,2018,Urban,Yes,2,27,Male,Head of Household,Marié(e),Secondary education,Formally employed Government,20-30
104,No,Kenya,2018,Rural,Yes,2,43,Male,Head of Household,Marié(e),Primary education,Informally employed,40-50
105,Yes,Kenya,2018,Urban,No,4,16,Female,Other relative,Célibataire,Secondary education,Remittance Dependent,10-20
106,Yes,Kenya,2018,Urban,Yes,4,26,Male,Other relative,Célibataire,Secondary education,Informally employed,20-30
107,No,Kenya,2018,Rural,No,4,19,Female,Spouse,Marié(e),Primary education,Informally employed,10-20
108,Yes,Kenya,2018,Rural,Yes,6,49,Male,Head of Household,Marié(e),Tertiary education,Formally employed Government,40-50
109,No,Kenya,2018,Urban,Yes,9,44,Female,Head of Household,Marié(e),No formal education,Self employed,40-50
110,No,Kenya,2018,Urban,Yes,1,30,Female,Head of Household,Célibataire,Primary education,Self employed,20-30
111,No,Kenya,2018,Rural,No,3,16,Female,Child,Célibataire,Primary education,Remittance Dependent,10-20
112,No,Kenya,2018,Urban,Yes,7,50,Female,Spouse,Marié(e),Vocational/Specialised training,Farming and Fishing,40-50
113,No,Kenya,2018,Rural,Yes,2,30,Male,Head of Household,Marié(e),Primary education,Formally employed Private,20-30
114,No,Kenya,2018,Urban,Yes,5,49,Female,Spouse,Marié(e),Primary education,Self employed,40-50
115,No,Kenya,2018,Rural,No,8,72,Female,Parent,Veuf/Veuve,No formal education,Remittance Dependent,70-80
116,No,Kenya,2018,Rural,Yes,4,18,Male,Child,Célibataire,Secondary education,Remittance Dependent,10-20
117,No,Kenya,2018,Rural,Yes,2,21,Female,Head of Household,Marié(e),Primary education,Remittance Dependent,20-30
118,No,Kenya,2018,Rural,Yes,9,52,Male,Head of Household,Marié(e),No formal education,Farming and Fishing,50-60
119,Yes,Kenya,2018,Rural,Yes,4,55,Male,Child,Marié(e),Secondary education,Farming and Fishing,50-60
120,No,Kenya,2018,Rural,Yes,5,35,Female,Head of Household,Marié(e),Primary education,Remittance Dependent,30-40
121,No,Kenya,2018,Rural,Yes,6,38,Female,Spouse,Marié(e),Primary education,Farming and Fishing,30-40
122,No,Kenya,2018,Rural,Yes,6,19,Female,Child,Célibataire,Secondary education,Remittance Dependent,10-20
123,Yes,Kenya,2018,Urban,Yes,7,53,Female,Head of Household,Marié(e),Tertiary education,Self employed,50-60
124,No,Kenya,2018,Urban,No,2,17,Male,Child,Célibataire,Secondary education,Remittance Dependent,10-20
125,No,Kenya,2018,Urban,Yes,5,29,Female,Head of Household,Marié(e),Primary education,Informally employed,20-30
126,Yes,Kenya,2018,Rural,Yes,1,24,Female,Head of Household,Célibataire,Tertiary education,Formally employed Private,20-30
127,No,Kenya,2018,Urban,Yes,7,63,Male,Spouse,Marié(e),Vocational/Specialised training,Farming and Fishing,60-70
128,No,Kenya,2018,Urban,Yes,2,47,Female,Head of Household,Marié(e),Secondary education,Remittance Dependent,40-50
129,Yes,Kenya,2018,Urban,Yes,4,42,Female,Head of Household,Marié(e),Tertiary education,Formally employed Government,40-50
130,No,Kenya,2018,Rural,No,3,17,Male,Child,Célibataire,Secondary education,Informally employed,10-20
131,Yes,Kenya,2018,Rural,Yes,4,28,Male,Head of Household,Marié(e),Primary education,Informally employed,20-30
132,No,Kenya,2018,Urban,Yes,7,62,Male,Head of Household,Veuf/Veuve,Primary education,Informally employed,60-70
133,No,Kenya,2018,Rural,Yes,2,52,Female,Head of Household,Veuf/Veuve,Primary education,Informally employed,50-60
134,No,Kenya,2018,Rural,Yes,3,44,Female,Head of Household,Divorcé(e),Primary education,Informally employed,40-50
135,No,Kenya,2018,Urban,Yes,6,28,Female,Head of Household,Marié(e),No formal education,Self employed,20-30
136,Yes,Kenya,2018,Urban,Yes,4,30,Female,Spouse,Marié(e),Secondary education,Self employed,20-30
137,Yes,Kenya,2018,Urban,Yes,4,39,Male,Head of Household,Marié(e),Primary education,Informally employed,30-40
138,No,Kenya,2018,Urban,Yes,4,81,Male,Head of Household,Marié(e),No formal education,Remittance Dependent,80+
139,Yes,Kenya,2018,Rural,Yes,1,62,Female,Head of Household,Veuf/Veuve,Primary education,Farming and Fishing,60-70
140,No,Kenya,2018,Urban,Yes,3,78,Male,Head of Household,Marié(e),Primary education,Self employed,70-80
141,No,Kenya,2018,Urban,Yes,2,28,Female,Head of Household,Célibataire,Primary education,Self employed,20-30
142,No,Kenya,2018,Urban,Yes,4,28,Male,Head of Household,Marié(e),Primary education,Formally employed Government,20-30
143,No,Kenya,2018,Rural,Yes,5,39,Female,Head of Household,Veuf/Veuve,Primary education,Farming and Fishing,30-40
144,No,Kenya,2018,Rural,Yes,8,42,Female,Spouse,Marié(e),No formal education,Farming and Fishing,40-50
145,No,Kenya,2018,Rural,No,6,17,Male,Child,Célibataire,Primary education,Remittance Dependent,10-20
146,No,Kenya,2018,Rural,Yes,6,50,Male,Head of Household,Marié(e),Secondary education,Farming and Fishing,40-50
147,No,Kenya,2018,Rural,Yes,4,25,Female,Spouse,Marié(e),Primary education,Self employed,20-30
148,Yes,Kenya,2018,Urban,Yes,6,34,Male,Head of Household,Marié(e),Primary education,Informally employed,30-40
149,No,Kenya,2018,Rural,Yes,5,33,Female,Spouse,Marié(e),Primary education,Farming and Fishing,30-40
150,Yes,Kenya,2018,Urban,Yes,3,26,Female,Spouse,Marié(e),Secondary education,Self employed,20-30
151,No,Kenya,2018,Rural,No,8,36,Female,Spouse,Marié(e),No formal education,Farming and Fishing,30-40
152,No,Kenya,2018,Rural,Yes,4,78,Female,Head of Household,Veuf/Veuve,No formal education,Farming and Fishing,70-80
153,Yes,Kenya,2018,Rural,Yes,5,36,Female,Spouse,Marié(e),Vocational/Specialised training,Formally employed Government,30-40
154,No,Kenya,2018,Urban,No,7,17,Female,Child,Célibataire,Secondary education,Remittance Dependent,10-20
155,No,Kenya,2018,Urban,Yes,1,20,Male,Head of Household,Célibataire,Tertiary education,Remittance Dependent,10-20
156,No,Kenya,2018,Rural,Yes,1,30,Male,Head of Household,Divorcé(e),Secondary education,Farming and Fishing,20-30
157,No,Kenya,2018,Rural,Yes,1,38,Male,Head of Household,Marié(e),Primary education,Informally employed,30-40
158,No,Kenya,2018,Rural,Yes,8,28,Female,Spouse,Marié(e),Primary education,Farming and Fishing,20-30
159,No,Kenya,2018,Rural,No,4,50,Male,Head of Household,Marié(e),Primary education,Informally employed,40-50
160,Yes,Kenya,2018,Urban,Yes,7,40,Male,Head of Household,Marié(e),Primary education,Formally employed Private,30-40
161,No,Kenya,2018,Urban,Yes,1,62,Male,Head of Household,Marié(e),Primary education,Informally employed,60-70
162,No,Kenya,2018,Rural,Yes,4,40,Female,Head of Household,Marié(e),Primary education,Farming and Fishing,30-40
163,No,Kenya,2018,Rural,Yes,7,44,Male,Head of Household,Marié(e),Primary education,Self employed,40-50
164,No,Kenya,2018,Rural,Yes,4,25,Female,Spouse,Marié(e),Primary education,Self employed,20-30
165,No,Kenya,2018,Rural,Yes,5,59,Female,Head of Household,Veuf/Veuve,Primary education,Farming and Fishing,50-60
166,Yes,Kenya,2018,Urban,Yes,6,36,Female,Spouse,Marié(e),Secondary education,Self employed,30-40
167,No,Kenya,2018,Rural,Yes,7,60,Male,Head of Household,Marié(e),No formal education,Farming and Fishing,50-60
168,Yes,Kenya,2018,Rural,Yes,3,42,Male,Head of Household,Marié(e),No formal education,Formally employed Private,40-50
169,No,Kenya,2018,Rural,Yes,2,56,Female,Head of Household,Marié(e),No formal education,Self employed,50-60
170,No,Kenya,2018,Urban,No,4,37,Female,Spouse,Marié(e),Primary education,Remittance Dependent,30-40
171,No,Kenya,2018,Rural,Yes,4,28,Female,Spouse,Marié(e),Secondary education,Remittance Dependent,20-30
172,No,Kenya,2018,Rural,No,9,50,Female,Child,Célibataire,Primary education,Farming and Fishing,40-50
173,No,Kenya,2018,Urban,Yes,2,55,Male,Head of Household,Marié(e),Secondary education,Formally employed Private,50-60
174,No,Kenya,2018,Rural,Yes,7,65,Female,Head of Household,Veuf/Veuve,Primary education,Farming and Fishing,60-70
175,No,Kenya,2018,Rural,Yes,5,48,Male,Head of Household,Marié(e),Primary education,Farming and Fishing,40-50
176,No,Kenya,2018,Urban,Yes,2,65,Female,Head of Household,Veuf/Veuve,Primary education,Remittance Dependent,60-70
177,No,Kenya,2018,Rural,Yes,7,55,Female,Head of Household,Veuf/Veuve,Primary education,Informally employed,50-60
178,No,Kenya,2018,Rural,Yes,5,31,Female,Spouse,Marié(e),Secondary education,Farming and Fishing,30-40
179,No,Kenya,2018,Rural,No,2,55,Female,Head of Household,Veuf/Veuve,No formal education,Remittance Dependent,50-60
180,No,Kenya,2018,Urban,Yes,6,44,Male,Head of Household,Marié(e),Primary education,Informally employed,40-50
181,No,Kenya,2018,Rural,Yes,3,72,Male,Head of Household,Marié(e),Primary education,Farming and Fishing,70-80
182,No,Kenya,2018,Urban,No,3,18,Female,Child,Célibataire,Secondary education,Informally employed,10-20
183,No,Kenya,2018,Rural,Yes,4,26,Male,Child,Célibataire,Secondary education,Remittance Dependent,20-30
184,No,Kenya,2018,Rural,Yes,1,53,Male,Head of Household,Divorcé(e),Primary education,Informally employed,50-60
185,No,Kenya,2018,Rural,Yes,3,28,Male,Head of Household,Marié(e),Primary education,Informally employed,20-30
186,No,Kenya,2018,Urban,Yes,8,34,Female,Head of Household,Marié(e),Tertiary education,Informally employed,30-40
187,No,Kenya,2018,Rural,Yes,4,55,Male,Head of Household,Marié(e),No formal education,Farming and Fishing,50-60
188,No,Kenya,2018,Urban,Yes,2,48,Male,Head of Household,Marié(e),Vocational/Specialised training,Informally employed,40-50
189,No,Kenya,2018,Rural,Yes,2,50,Female,Spouse,Marié(e),Primary education,Informally employed,40-50
190,Yes,Kenya,2018,Rural,Yes,7,65,Female,Head of Household,Veuf/Veuve,Secondary education,Farming and Fishing,60-70
191,Yes,Kenya,2018,Urban,Yes,3,53,Female,Head of Household,Veuf/Veuve,Secondary education,Farming and Fishing,50-60
192,No,Kenya,2018,Rural,Yes,5,45,Female,Head of Household,Marié(e),No formal education,Farming and Fishing,40-50
193,No,Kenya,2018,Urban,Yes,2,29,Female,Head of Household,Célibataire,Primary education,Informally employed,20-30
194,Yes,Kenya,2018,Urban,Yes,3,36,Male,Head of Household,Marié(e),Vocational/Specialised training,Formally employed Private,30-40
195,No,Kenya,2018,Rural,No,9,18,Female,Child,Célibataire,Secondary education,Remittance Dependent,10-20
196,No,Kenya,2018,Rural,No,5,18,Female,Child,Célibataire,Secondary education,Remittance Dependent,10-20
197,Yes,Kenya,2018,Urban,Yes,7,33,Female,Head of Household,Marié(e),Primary education,Self employed,30-40
198,No,Kenya,2018,Urban,Yes,4,25,Female,Spouse,Marié(e),Primary education,Remittance Dependent,20-30
199,Yes,Kenya,2018,Urban,Yes,2,30,Female,Head of Household,Célibataire,Vocational/Specialised training,Formally employed Government,20-30
200,Yes,Kenya,2018,Urban,Yes,5,48,Female,Spouse,Marié(e),Secondary education,Farming and Fishing,40-50
201,Yes,Kenya,2018,Rural,Yes,2,80,Female,Head of Household,Veuf/Veuve,No formal education,Farming and Fishing,70-80
202,No,Kenya,2018,Urban,Yes,6,42,Male,Head of Household,Célibataire,Primary education,Farming and Fishing,40-50
203,No,Kenya,2018,Rural,Yes,5,69,Female,Head of Household,Marié(e),No formal education,Self employed,60-70
204,No,Kenya,2018,Urban,Yes,3,23,Female,Spouse,Marié(e),Secondary education,Self employed,20-30
205,No,Kenya,2018,Rural,Yes,2,67,Female,Head of Household,Veuf/Veuve,Primary education,Informally employed,60-70
206,No,Kenya,2018,Rural,Yes,2,58,Female,Spouse,Marié(e),Primary education,Farming and Fishing,50-60
207,No,Kenya,2018,Rural,Yes,6,27,Male,Child,Célibataire,Secondary education,Farming and Fishing,20-30
208,Yes,Kenya,2018,Rural,Yes,1,42,Male,Head of Household,Célibataire,Primary education,Farming and Fishing,40-50
209,No,Kenya,2018,Rural,No,5,80,Female,Head of Household,Veuf/Veuve,No formal education,Government Dependent,70-80
210,No,Kenya,2018,Rural,No,3,95,Female,Parent,Veuf/Veuve,No formal education,Informally employed,80+
211,No,Kenya,2018,Rural,Yes,4,26,Female,Other relative,Célibataire,Secondary education,Informally employed,20-30
212,No,Kenya,2018,Urban,Yes,3,38,Female,Spouse,Marié(e),Vocational/Specialised training,Remittance Dependent,30-40
213,No,Kenya,2018,Urban,Yes,1,64,Male,Head of Household,Marié(e),Secondary education,Informally employed,60-70
214,No,Kenya,2018,Urban,Yes,6,16,Male,Other relative,Célibataire,Secondary education,Remittance Dependent,10-20
215,No,Kenya,2018,Urban,No,4,49,Male,Head of Household,Marié(e),Secondary education,Farming and Fishing,40-50
216,No,Kenya,2018,Rural,No,5,33,Female,Head of Household,Veuf/Veuve,No formal education,Self employed,30-40
217,No,Kenya,2018,Urban,Yes,4,35,Female,Head of Household,Divorcé(e),Secondary education,Self employed,30-40
218,Yes,Kenya,2018,Urban,Yes,1,28,Male,Head of Household,Marié(e),Tertiary education,Formally employed Private,20-30
219,No,Kenya,2018,Urban,Yes,4,38,Male,Head of Household,Marié(e),Secondary education,Formally employed Private,30-40
220,No,Kenya,2018,Rural,Yes,3,29,Male,Head of Household,Marié(e),No formal education,Self employed,20-30
221,No,Kenya,2018,Rural,Yes,5,26,Male,Head of Household,Marié(e),Primary education,Informally employed,20-30
222,No,Kenya,2018,Rural,No,1,17,Male,Head of Household,Célibataire,Secondary education,Remittance Dependent,10-20
223,No,Kenya,2018,Rural,Yes,4,36,Male,Head of Household,Marié(e),Primary education,Informally employed,30-40
224,Yes,Kenya,2018,Urban,Yes,3,28,Female,Spouse,Marié(e),Secondary education,Self employed,20-30
225,No,Kenya,2018,Urban,No,5,22,Female,Parent,Célibataire,Secondary education,Dont Know/Refuse to answer,20-30
226,No,Kenya,2018,Urban,Yes,1,65,Female,Head of Household,Célibataire,Primary education,Remittance Dependent,60-70
227,No,Kenya,2018,Urban,No,1,54,Male,Head of Household,Célibataire,Primary education,Farming and Fishing,50-60
228,Yes,Kenya,2018,Rural,Yes,4,66,Male,Head of Household,Marié(e),Secondary education,Farming and Fishing,60-70
229,No,Kenya,2018,Urban,Yes,3,54,Female,Spouse,Marié(e),Primary education,Informally employed,50-60
230,No,Kenya,2018,Rural,No,3,70,Male,Head of Household,Marié(e),No formal education,Farming and Fishing,60-70
231,No,Kenya,2018,Rural,Yes,5,44,Male,Head of Household,Marié(e),Secondary education,Informally employed,40-50
232,No,Kenya,2018,Urban,Yes,7,22,Male,Child,Célibataire,Secondary education,Informally employed,20-30
233,Yes,Kenya,2018,Rural,Yes,3,53,Male,Head of Household,Marié(e),Tertiary education,Farming and Fishing,50-60
234,No,Kenya,2018,Rural,Yes,7,28,Male,Child,Marié(e),Primary education,Informally employed,20-30
235,No,Kenya,2018,Rural,Yes,8,42,Female,Head of Household,Marié(e),Primary education,Farming and Fishing,40-50
236,No,Kenya,2018,Rural,Yes,5,24,Female,Spouse,Marié(e),Primary education,Farming and Fishing,20-30
237,Yes,Kenya,2018,Urban,Yes,3,40,Male,Head of Household,Marié(e),Vocational/Specialised training,Formally employed Private,30-40
238,No,Kenya,2018,Rural,Yes,4,33,Male,Head of Household,Marié(e),Secondary education,Self employed,30-40
239,No,Kenya,2018,Rural,Yes,2,60,Male,Head of Household,Marié(e),Primary education,Farming and Fishing,50-60
240,No,Kenya,2018,Rural,Yes,2,40,Female,Other relative,Divorcé(e),Primary education,Formally employed Private,30-40
241,No,Kenya,2018,Rural,No,3,17,Female,Other relative,Célibataire,Secondary education,Remittance Dependent,10-20
242,No,Kenya,2018,Rural,Yes,7,30,Female,Head of Household,Divorcé(e),Primary education,Self employed,20-30
243,No,Kenya,2018,Urban,No,2,16,Male,Other relative,Célibataire,Secondary education,Remittance Dependent,10-20
244,No,Kenya,2018,Rural,No,4,19,Male,Child,Célibataire,No formal education,Farming and Fishing,10-20
245,Yes,Kenya,2018,Rural,Yes,1,54,Female,Head of Household,Veuf/Veuve,Secondary education,Self employed,50-60
